"","score","text"
"70",0,"#Nitish-#Lalu together sought religion-based quotas in 2005: PM #Modi … https://t.co/1WTiNxhyR3 https://t.co/XwfotooaRh"
"71",0,"RT @EconomicTimes: #Nitish-#Lalu together sought religion-based quotas in 2005: PM #Modi https://t.co/Tb1oJgI0mI https://t.co/jPWqVOhVHD"
"72",0,"RT @EconomicTimes: #Nitish-#Lalu together sought religion-based quotas in 2005: PM #Modi https://t.co/Tb1oJgI0mI https://t.co/jPWqVOhVHD"
"73",0,"RT @EconomicTimes: #Nitish-#Lalu together sought religion-based quotas in 2005: PM #Modi https://t.co/Tb1oJgI0mI https://t.co/jPWqVOhVHD"
"74",0,"RT @EconomicTimes: #Nitish-#Lalu together sought religion-based quotas in 2005: PM #Modi https://t.co/Tb1oJgI0mI https://t.co/jPWqVOhVHD"
"75",0,"RT @EconomicTimes: #Nitish-#Lalu together sought religion-based quotas in 2005: PM #Modi https://t.co/Tb1oJgI0mI https://t.co/jPWqVOhVHD"
"76",0,"RT @EconomicTimes: #Nitish-#Lalu together sought religion-based quotas in 2005: PM #Modi https://t.co/Tb1oJgI0mI https://t.co/jPWqVOhVHD"
"77",0,"RT @EconomicTimes: #Nitish-#Lalu together sought religion-based quotas in 2005: PM #Modi https://t.co/Tb1oJgI0mI https://t.co/jPWqVOhVHD"
"78",0,"#Nitish-#Lalu together sought religion-based quotas in 2005: PM #Modi https://t.co/Tb1oJgI0mI https://t.co/jPWqVOhVHD"
"79",0,"#Nitish-Lalu together sought religion-based quotas in 2005: Modi #jobs #money #work #: Prime Minister Modi at ... https://t.co/lsc4TPYKuI"
"80",0,"RT @EconomicTimes: #Nitish-#Lalu together sought religion-based quotas in 2005: PM #Modi https://t.co/xYpwZjXdsK"
"81",0,"RT @EconomicTimes: #Nitish-#Lalu together sought religion-based quotas in 2005: PM #Modi https://t.co/xYpwZjXdsK"
"82",0,"RT @EconomicTimes: #Nitish-#Lalu together sought religion-based quotas in 2005: PM #Modi https://t.co/xYpwZjXdsK"
"83",0,"RT @EconomicTimes: #Nitish-#Lalu together sought religion-based quotas in 2005: PM #Modi https://t.co/xYpwZjXdsK"
"84",0,"RT @EconomicTimes: #Nitish-#Lalu together sought religion-based quotas in 2005: PM #Modi https://t.co/xYpwZjXdsK"
"85",0,"RT @EconomicTimes: #Nitish-#Lalu together sought religion-based quotas in 2005: PM #Modi https://t.co/xYpwZjXdsK"
"86",0,"RT @EconomicTimes: #Nitish-#Lalu together sought religion-based quotas in 2005: PM #Modi https://t.co/xYpwZjXdsK"
"87",0,"RT @EconomicTimes: #Nitish-#Lalu together sought religion-based quotas in 2005: PM #Modi https://t.co/xYpwZjXdsK"
"88",0,"RT @EconomicTimes: #Nitish-#Lalu together sought religion-based quotas in 2005: PM #Modi https://t.co/xYpwZjXdsK"
"89",0,"RT @EconomicTimes: #Nitish-#Lalu together sought religion-based quotas in 2005: PM #Modi https://t.co/xYpwZjXdsK"
"90",0,"#Nitish must explain why he went to Pakistan, says Sushil Modi #jobs #money #work #: PATNA: Keeping the Pakist... https://t.co/szXXwNsNKK"
"91",0,"#Nitish must explain why he went to Pakistan, says Sushil Modi #jobs #money #work #: PATNA: Keeping the Pakist... https://t.co/PObdpMtZFb"
"92",0,"RT @EconomicTimes: #Nitish-#Lalu together sought religion-based quotas in 2005: PM #Modi https://t.co/xYpwZjXdsK"
"93",0,"RT @EconomicTimes: #Nitish-#Lalu together sought religion-based quotas in 2005: PM #Modi https://t.co/xYpwZjXdsK"
"94",0,"RT @EconomicTimes: #Nitish-#Lalu together sought religion-based quotas in 2005: PM #Modi https://t.co/xYpwZjXdsK"
"95",-1,"RT @ganeshmahnar: This reservation had haunted #Nitish, Lalu in 3 and 4 phase, EBC &amp; Dalit voted BJP. Big Setback for Peasant Kishore https…"
"96",0,"#Nitish-#Lalu together sought religion-based quotas in 2005: PM #Modi https://t.co/HMAtdIBOS3 https://t.co/DpyudRCK9S"
"97",0,"RT @EconomicTimes: #Nitish-#Lalu together sought religion-based quotas in 2005: PM #Modi https://t.co/xYpwZjXdsK"
"98",-1,"This reservation had haunted #Nitish, Lalu in 3 and 4 phase, EBC &amp; Dalit voted BJP. Big Setback for Peasant Kishore https://t.co/NbFOjgSC9S"
"99",0,"RT @EconomicTimes: #Nitish-#Lalu together sought religion-based quotas in 2005: PM #Modi https://t.co/xYpwZjXdsK"
"100",0,"#Nitish-#Lalu together sought religion-based quotas in 2005: PM #Modi https://t.co/xYpwZjXdsK"
"101",0,"#Nitish-Lalu together sought religion-based quotas in 2005: Modi #jobs #money #work #: Prime Minister Modi at ... https://t.co/IgV2WsePKn"
"102",0,"#Nitish-Lalu together sought religion-based quotas in 2005: Modi #jobs #money #work #: Prime Minister Modi at ... https://t.co/b3oZW9fESy"
"103",0,"#Nitish-Lalu together sought religion-based quotas in 2005: Modi #jobs #money #work #: Prime Minister Modi at ... https://t.co/rsapPvq4DD"
"104",0,"#Nitish-Lalu together sought religion-based quotas in 2005: Modi #jobs #money #work #: Prime Minister Modi at ... https://t.co/4xpSuxhc9p"
"105",0,"#Nitish-Lalu together sought religion-based quotas in 2005: Modi #jobs #money #work #: Prime Minister Modi at ... https://t.co/NipihMPfkC"
"106",0,"#Nitish-Lalu together sought religion-based quotas in 2005: Modi #jobs #money #work #: Prime Minister Modi at ... https://t.co/YYrgX5bDC4"
"107",0,"Yes, Now Tearless Onion in Market
https://t.co/4C0HG7OT1M 
https://t.co/3c8kLvKd1X
 #socialmedia #startup #bjp #rjd #jdu #lalu #nitish #aap"
"108",0,"#Nitish-Lalu together sought religion-based quotas in 2005: Modi #jobs #money #work #: Prime Minister Modi at ... https://t.co/fvJ5rckgyB"
"109",0,"#Nitish must explain why he went to Pakistan, says Sushil Modi #jobs #money #work #: PATNA: Keeping the Pakist... https://t.co/szXXwNsNKK"
"110",0,"#Nitish-Lalu together sought religion-based quotas in 2005: Modi #jobs #money #work #: Prime Minister Modi at ... https://t.co/wYGn6GNKYD"
"111",0,"#Nitish-Lalu together sought religion-based quotas in 2005: Modi #jobs #money #work #: Prime Minister Modi at ... https://t.co/iM71jhEPdh"
"112",0,"#Nitish-Lalu together sought religion-based quotas in 2005: Modi #jobs #money #work #: Prime Minister Modi at ... https://t.co/MtI4qtJbDB"
"113",0,"#Nitish-Lalu together sought religion-based quotas in 2005: Modi #jobs #money #work #: Prime Minister Modi at ... https://t.co/NipihMPfkC"
"114",0,"#Nitish-Lalu together sought religion-based quotas in 2005: Modi #jobs #money #work #: Prime Minister Modi at ... https://t.co/AICJgcuggs"
"115",0,"#Nitish's Minority Affairs Minister Naushad Alam faces Bihar's eastern tip jinx #jobs #money #work #: THAKURGA... https://t.co/Y1COor4ktw"
"116",0,"#Nitish's Minority Affairs Minister Naushad Alam faces Bihar's eastern tip jinx #jobs #money #work #: THAKURGA... https://t.co/yiJVaf6off"
"117",0,"RT @JasBJP: #Electricity নিয়ে #Nitish-কে খোঁচা #Modi
‘বিহারের ৪ হাজার গ্রামে এখনও বিদ্যুৎ নেই’ বললেন #PM #Modi https://t.co/94e5ERrkEd
@BJ…"
"118",0,"nobody in bihar want jungle raj back. remember voting for nitish is voting for jungle raj of lalu #nitish kumar"
"119",0,"lalu is getting more seats in MGB because he has committed vote bank. it will be lalu raj means jungle raj and not nitish raj #nitish kumar"
"120",0,"he has still not clarified his position on religious reservation.seems modi allegation against him  regarding this is correct #nitish kumar"
"121",0,"dont vote for nitish for his past performance, but think what he will be able to do with lalu as ally in future. noting #nitish kumar"
"122",2,"if MGB win, what nitish will be able to do, as he require support of lalu. knowing lalu ,it will be jungle raj. god help bihar #nitish kumar"
"123",0,"#Nitish, Lalu had together sought religion-based quota in 2005, says PM Narendra Modi #jobs #money #work #: KA... https://t.co/wplUz89dU1"
"124",0,"#Nitish,#Lalu Had Sought #Religion-Based Quota In 2005: PM #Modi |READ| https://t.co/wVFzhzJVaE https://t.co/CrbU08eRnS"
"125",1,"@TimesNow #Nitish is the tallest leader of Bihar. Has done a good job#"
"126",2,"@narendramodi #Nitish has done a good job.needs to win with blessings of,people#"
"127",0,"RT @shemin_joy: Bihar: The Lalu,Nitish, Modi story https://t.co/cRrABrkcMJ #BiharPolls #Modi #Nitish #Lalu"
"128",0,"Bihar: The Lalu,Nitish, Modi story https://t.co/cRrABrkcMJ #BiharPolls #Modi #Nitish #Lalu"
"129",0,"#Nitish, Lalu had together sought religion-based quota in 2005, says PM Narendra Modi #jobs #money #work #: KA... https://t.co/p81nAHSTwe"
"130",0,"#Nitish, Lalu had together sought religion-based quota in 2005, says PM Narendra Modi #jobs #money #work #: KA... https://t.co/o06W8w5YJh"
"131",0,"#Nitish, Lalu had together sought religion-based quota in 2005, says PM Narendra Modi #jobs #money #work #: KA... https://t.co/kJu99koA9j"
"132",0,"#Nitish-Lalu together sought religion-based quotas in 2005: PM Modi - Zee News https://t.co/BH1phnWARw"
"133",0,"#Nitish, Lalu had together sought religion-based quota in 2005, says PM Narendra Modi #jobs #money #work #: KA... https://t.co/BIKH1QcjKY"
"134",0,"#Nitish, Lalu had together sought religion-based quota in 2005, says PM Narendra Modi #jobs #money #work #: KA... https://t.co/g9KEbrlM8C"
"135",1,"At #rallies, #Nitish #is #like #Modi - #with #his #own #style https://t.co/47kOOuB2z1"
"136",1,"At #rallies, #Nitish #is #like #Modi - #with #his #own #style https://t.co/MfWeWGuzyT"
"137",1,"RT @SandipGhose: Have met #PratyayaAmrit many times.Definitely a brilliant IAS. Makes no secret of being close to #Nitish. But, media brief…"
"138",1,"RT @SandipGhose: Have met #PratyayaAmrit many times.Definitely a brilliant IAS. Makes no secret of being close to #Nitish. But, media brief…"
"139",1,"Have met #PratyayaAmrit many times.Definitely a brilliant IAS. Makes no secret of being close to #Nitish. But, media briefing ? #BiharPolls"
"140",0,"#nitish kumar is the only CM who visited pakistan. next will be @ArvindKejriwal to hear goolam gazals"
"141",-1,"RT @santwana99: #BiharPolls: 3 What-ifs...Will it b #Modi, #Nitish-#Lalu or hung house? ""Tight hai,"" says the Bihari. My article... https:/…"
"142",0,"बिहार के लोग लालू के ‘जंगलराज’ और नीतीश के ‘#jantarmantar’ से रहें सावधान : PM मोदी
https://t.co/siRhQ5hvD1
#narendramodi #bihar #nitish #Tk"
"143",0,"لالو- نتیش صرف تباہی لائیں گے: مودی
##Modi# #LALU #NITISH
Read more at... https://t.co/yDwIDgbz0L"
"144",0,"‘সমস্ত গ্রামে বিদ্যুৎ পৌঁছে দেওয়ার প্রতিশ্রুতি’ দিয়েছিলেন #Nitish’‘সেই প্রতিশ্রুতি পূরণ হয়নি’
‘আমরা 24*7 #Electricity পৌঁছে দেব’-#Modi"
"145",0,"#Electricity নিয়ে #Nitish-কে খোঁচা #Modi
‘বিহারের ৪ হাজার গ্রামে এখনও বিদ্যুৎ নেই’ বললেন #PM #Modi https://t.co/94e5ERrkEd
@BJPSamvadWB"
"146",0,"#Electricity নিয়ে #Nitish-কে খোঁচা #Modi
‘বিহারের ৪ হাজার গ্রামে এখনও বিদ্যুৎ নেই’ বললেন #PM #NarendraModi https://t.co/CAly4sUUXL"
"147",0,"RT @mahcongress: In other words #PMModi complimented #Nitish for making it so.  https://t.co/75gaw2F4NU"
"148",0,"RT @mahcongress: In other words #PMModi complimented #Nitish for making it so.  https://t.co/75gaw2F4NU"
"149",0,"In other words #PMModi complimented #Nitish for making it so.  https://t.co/75gaw2F4NU"
"150",-1,"10 Absolute Worst Things In This Bihar election 2015
https://t.co/tZQOnCimBy 
https://t.co/nsjhzLt6ox
#NITISH #TweesureHunt #NakalMatKaro"
"151",-1,"Absolute Worst Things In This Bihar election 2015
https://t.co/tZQOnCimBy 
https://t.co/nsjhzLt6ox
#JUNGLERAAJ #BIHAR #LALU #NITISH #Modi"
"152",-1,"Absolute Worst Things In This Bihar election 2015
https://t.co/tZQOnCimBy 
https://t.co/nsjhzLt6ox
#JUNGLERAJ #NITISH #LALU #MODI #BIHAR"
"153",0,"Poling for 4th is trending on twitter: 55 seats vote in 4th Phase, stakes high for BJP #BiharElections #Nitish #Modi https://t.co/DZG0bSyFvB"
"154",0,"RT @ANKUGUPTAS: #Nitish Kumar with a tantrik baba 
Kya hone wala hai Bihar ka bhawis 
Baklol teacher..contract basis majdur.. bas https://t…"
"155",0,"#Biharis to #Nitish and #Lalu https://t.co/VcCaybuELj"
"156",0,"बिहार में बहार  हो नीतीश कुमार हो #BiharElections #mahagathbandhan #jdu #nitish"
"157",-1,"#BiharPolls: 3 What-ifs...Will it b #Modi, #Nitish-#Lalu or hung house? ""Tight hai,"" says the Bihari. My article... https://t.co/kRoMw8xeP3"
"158",-1,"#Muzaffarpur’s traders fear the return of #JungleRaj due to the alliance #Nitish formed with #Lalu https://t.co/Z6ahXGBWEQ #battelforBihar"
"159",-2,"#lalu has nothing to loose in #biharelections moreover 115 MLA from JDU in current assembly &amp; nitish contesting 4m 100seats.#nitish is loser"
"160",1,"Start with Parivartan, disband it,take boats of DNA, #Jungle,#Lalu-#Nitish,&amp; again at last, wisdom of ParivartanWithModi?Madhubani"
"161",1,"Ready to debate on reservation: #Nitish tells #Modi
https://t.co/1xsTWY0pjf https://t.co/Akj9gln7b1"
"162",1,"Ready to debate on reservation: #Nitish tells #Modi
https://t.co/o7Y6shK38p https://t.co/fqPNXff9qH"
"163",1,"Ready to debate on reservation: #Nitish tells #Modi
https://t.co/62ccxeXoJr https://t.co/MAupeAwiUn"
"164",1,"Start with Parivartan, disband it,take boats of DNA, #Jungle,#Lalu-#Nitish,&amp; again at last #NakalMatKaro, wisdom of #ParivartanWithModi?"
"165",0,"#BJP came2 #Bihar with #MadeInDelhi ship of #Parivartan,but on boats of DNA,#Jungle,TantraMantra,#Lalu-#Nitish?#ParivartanWithModi"
"166",1,"#Ready to #Debate on #Reservation: #Nitish #Tells #Modi - https://t.co/IlOlFdIiCo https://t.co/uWPj3ywwg3"
"167",0,"@SreenivasanJain @TruthvsHype If #Nitish had developed Bihar, it wouldn't have been David vs Goliath in first place! why didn't he?"
"168",2,"RT @AfrinAname: #AntiPeopleBJP this trend in top rank 2 indicates #Nitish definitely win the election..."
"169",2,"RT @AfrinAname: #AntiPeopleBJP this trend in top rank 2 indicates #Nitish definitely win the election..."
"170",2,"RT @AfrinAname: #AntiPeopleBJP this trend in top rank 2 indicates #Nitish definitely win the election..."
"171",2,"RT AfrinAname: #AntiPeopleBJP this trend in top rank 2 indicates #Nitish definitely win the election..."
"172",2,"#AntiPeopleBJP this trend in top rank 2 indicates #Nitish definitely win the election..."
"173",-1,"After @RajivPratapRudy remarks on #Nitish add in Dawn I feel just pity for #DigitalIndia. They don't know such basic things. Pathetic."
"174",0,"#Nitish Kumar stop saying #Bihari &amp; #Bahari. If this is the case let me remind you most of migrant in other states r from #Bihar. #biharpoll"
"175",1,"It was #Nitish kumar who first made us feel proud as a #Bihari. so fir ek baar nitish kumar. #बिहारी_हो_तुम"
"176",0,"For #Nitish, rural electrification can be a winner https://t.co/4jLroHEiK4 #ZippedNews https://t.co/dRvQIcBJUu"
"177",0,"गर सच्चे #बिहारी_हो_तुम 
.
तुम्हे गहन परख देश तोडन की राजनीति करन वाले की, इह Modi बा; तो #ModiBhagaoDeshBachao 
#nitish जोडन की समझ रखे"
"178",0,"#बिहारी_हो_तुम - CharaChor #Lalu Ka #JungleRaj Khatm Karo, #Nitish Ka Ahankar Girao Aur #CongressMuktBihar Banao..... #JaiHind"
